CustomerID,CustomerName,Region,SignupDate,TotalSpending,TotalTransactions,AvgSpending,Cluster
C0001,Lawrence Carroll,South America,2022-07-10,3354.5200000000004,5.0,670.9040000000001,3
C0002,Elizabeth Lutz,Asia,2022-02-13,1862.74,4.0,465.685,1
C0003,Michael Rivera,South America,2024-03-07,2725.38,4.0,681.345,3
C0004,Kathleen Rodriguez,South America,2022-10-09,5354.88,8.0,669.36,0
C0005,Laura Weber,Asia,2022-08-15,2034.24,3.0,678.08,3
C0006,Brittany Palmer,South America,2024-01-07,4227.57,4.0,1056.8925,2
C0007,Paul Graves,Asia,2022-06-18,2579.8199999999997,3.0,859.9399999999999,3
C0008,David Li,North America,2024-01-13,4271.61,10.0,427.16099999999994,0
C0009,Joy Clark,Europe,2023-08-14,896.5,3.0,298.8333333333333,1
C0010,Aaron Cox,Europe,2022-12-15,1717.5500000000002,4.0,429.38750000000005,1
C0011,Bryan Mathews,South America,2022-12-12,3730.0,5.0,746.0,3
C0012,Kevin May,South America,2024-08-07,5231.259999999999,7.0,747.3228571428571,0
C0013,Lauren Buchanan,South America,2024-05-19,6000.56,7.0,857.2228571428572,0
C0014,Deborah Wilcox,Europe,2024-06-22,318.66,1.0,318.66,1
C0015,Tina Duran,North America,2023-11-20,1157.48,2.0,578.74,3
C0016,Emily Woods,North America,2024-01-03,3874.42,5.0,774.884,3
C0017,Jennifer King,Europe,2023-12-05,4753.82,8.0,594.2275,0
C0018,Tyler Haynes,North America,2024-09-21,4781.85,5.0,956.3700000000001,2
C0019,Brandon Rodriguez,Europe,2023-01-12,2185.8199999999997,6.0,364.3033333333333,1
C0020,Mr. Manuel Conway,North America,2024-06-11,922.41,1.0,922.41,3
C0021,Robert Blanchard,Asia,2023-04-17,5419.92,8.0,677.49,0
C0022,Teresa Esparza,Asia,2023-10-27,4655.07,6.0,775.8449999999999,0
C0023,Nicholas Cain,Europe,2022-03-04,5158.65,6.0,859.775,0
C0024,Michele Cooley,North America,2024-02-05,3627.02,7.0,518.1457142857142,0
C0025,Gregory Odom,South America,2022-07-04,1589.81,4.0,397.4525,1
C0026,Sara Miller,North America,2024-05-03,3549.05,4.0,887.2625,2
C0027,Justin Heath,Asia,2022-11-09,2562.94,4.0,640.735,3
C0028,Jennifer Pena,Asia,2024-06-29,6819.57,8.0,852.44625,0
C0029,Erin Manning,North America,2022-04-16,1785.8700000000001,4.0,446.46750000000003,1
C0030,Mark Brock,North America,2024-01-30,2549.6800000000003,5.0,509.93600000000004,1
C0031,Tina Miller,South America,2024-04-11,2005.38,4.0,501.345,1
C0032,Dustin Campbell,South America,2024-04-17,673.0,3.0,224.33333333333334,1
C0033,Tyler Holt,North America,2024-08-04,132.64,1.0,132.64,1
C0034,Dalton Perez,North America,2023-09-27,3073.2000000000003,6.0,512.2,1
C0035,Brianna Richardson,North America,2024-10-01,2587.61,4.0,646.9025,3
C0036,Brian Aguilar DDS,North America,2024-07-06,1877.96,3.0,625.9866666666667,3
C0037,Linda Smith,Europe,2023-02-04,4252.77,5.0,850.5540000000001,2
C0038,Jeffrey Perkins,North America,2022-04-16,2696.85,5.0,539.37,1
C0039,Angela Harris,South America,2024-10-13,4239.6,6.0,706.6,0
C0040,Michael Harrell,Asia,2022-03-07,3969.3999999999996,3.0,1323.1333333333332,2
C0041,Lindsey Deleon,Europe,2023-12-27,6149.78,7.0,878.54,0
C0042,Heather Riley,North America,2023-03-15,2402.49,3.0,800.8299999999999,3
C0043,Sandy Short MD,Asia,2023-02-05,1131.3200000000002,3.0,377.10666666666674,1
C0044,Kenneth Alexander,Europe,2024-07-10,3230.1099999999997,3.0,1076.7033333333331,2
C0045,Michael Williams,Asia,2022-02-25,6021.8,7.0,860.2571428571429,0
C0046,Beth Cardenas,North America,2024-10-23,5627.83,7.0,803.9757142857143,0
C0047,Samantha Frank,North America,2024-03-22,2870.54,7.0,410.07714285714286,1
C0048,Matthew Park,South America,2024-11-07,3850.9399999999996,5.0,770.1879999999999,3
C0049,Jason Yates,North America,2024-09-18,2315.48,8.0,289.435,1
C0050,Ryan Davis,North America,2024-03-02,3068.83,3.0,1022.9433333333333,2
C0051,Nicholas Ellis,Europe,2023-12-21,5699.57,7.0,814.2242857142857,0
C0052,Stanley Aguirre,South America,2024-02-20,2488.01,4.0,622.0025,3
C0053,Albert Burke,Europe,2022-06-18,5316.46,6.0,886.0766666666667,0
C0054,Bruce Rhodes,Asia,2024-09-29,8040.389999999999,8.0,1005.0487499999999,0
C0055,Lauren Williams,North America,2024-11-11,2857.6800000000003,5.0,571.5360000000001,1
C0056,Erika Fernandez,Asia,2024-04-12,3182.94,5.0,636.588,3
C0057,Elizabeth Nguyen,Europe,2024-07-27,4536.4,6.0,756.0666666666666,0
C0058,Zachary Turner,North America,2024-01-28,396.34,1.0,396.34,1
C0059,Mrs. Kimberly Wright,North America,2024-04-07,7073.28,8.0,884.16,0
C0060,James Murphy,Europe,2022-04-22,82.36,1.0,82.36,1
C0061,Brandon Escobar,Europe,2023-03-06,2138.26,3.0,712.7533333333334,3
C0062,Jeffery Hartman,Europe,2022-12-14,1639.54,3.0,546.5133333333333,3
C0063,Wayne Ferguson,Europe,2024-02-05,1378.1699999999998,2.0,689.0849999999999,3
C0064,Martha Montgomery,Europe,2023-10-22,4039.77,5.0,807.954,2
C0065,Gerald Hines,North America,2024-07-10,7663.7,10.0,766.37,0
C0066,Catherine White,Europe,2024-11-15,3799.2799999999997,3.0,1266.4266666666665,2
C0067,Carl Gonzalez,North America,2023-07-06,4090.84,6.0,681.8066666666667,0
C0068,Mark Cox,North America,2023-04-04,5950.42,8.0,743.8025,0
C0069,Stacy Foster,Europe,2023-12-03,2878.69,5.0,575.738,1
C0070,Timothy Perez,Europe,2022-03-15,3125.49,4.0,781.3725,3
C0071,Taylor Murphy,South America,2022-07-01,1400.83,3.0,466.9433333333333,1
C0072,Sarah Scott,North America,2024-07-24,2999.59,5.0,599.918,1
C0073,Heidi Johnson,Europe,2022-08-20,2060.54,3.0,686.8466666666667,3
C0074,Jonathan Russo,Europe,2022-05-27,3055.2200000000003,3.0,1018.4066666666668,2
C0075,Misty Higgins,Europe,2023-05-01,5848.97,9.0,649.8855555555556,0
C0076,Emily Roberts,South America,2024-02-11,2333.06,5.0,466.61199999999997,1
C0077,Scott Sims,South America,2023-10-18,837.3,3.0,279.09999999999997,1
C0078,Julia Palmer,Asia,2024-11-13,995.52,1.0,995.52,3
C0079,Brian Murillo,North America,2022-02-02,4251.5599999999995,4.0,1062.8899999999999,2
C0080,David Gonzalez,Asia,2024-02-07,1007.52,1.0,1007.52,3
C0081,Kimberly Turner,Europe,2024-02-24,3542.48,6.0,590.4133333333333,1
C0082,Aimee Taylor,South America,2022-05-13,7572.91,7.0,1081.8442857142857,0
C0083,Christina Stark,South America,2022-04-07,642.8,3.0,214.26666666666665,1
C0084,Belinda Garner,Asia,2024-09-17,4441.1,9.0,493.4555555555556,0
C0085,Richard Brown,South America,2024-09-22,2598.33,3.0,866.11,3
C0086,Stephanie Peterson,Europe,2022-09-18,2754.68,5.0,550.9359999999999,1
C0087,Travis Campbell,South America,2024-04-11,6604.23,7.0,943.4614285714285,0
C0088,Carlos Murray,Asia,2023-05-14,2135.38,5.0,427.076,1
C0089,Paul Carter,Europe,2024-04-02,2556.2200000000003,2.0,1278.1100000000001,2
